oclc,AuthorName,AuthorDates,Title,PubLocation,PubDate,Format,VolumeStatement,paratextTitleControlled,EpigraphBoolean,NarrativeForm,NarrativeFormAdditional,NonProseForms,InscriptionBoolean,MarginaliaBoolean,TranslationClaim,TitleOtherWorks,TitleNouns,TitleAdjectives,TitlePlaces,TitleNames,TitleVerbs,TitleObjects,TitleAdverbs,Cataloger
260500,"Orrery, Roger Boyle,",1621-1679.,"Royal adventures: being the amorous history of King Henry the Eighth, and his court, &c. Wrote by a party in his pleasures; and now publish'd from the original papers, by a person of quality. Price one shilling",London,1750,Duodecimo,,,1,Third-person,,,0,0,,,"adventure, history, king, court, party, pleasure, paper, person, quality, price, shilling","Royal, amorous, original",,King Henry the Eighth,,,,
260503,"Manley,",1663-1724.,Secret memoirs and manners of several persons of quality of both sexes. From the new Atalantis an island in the Mediterranean. In four volumes. Written originally in Italian. Vol. I,London,1720,Duodecimo,In four volumes.,"Dedication, Dedication, Dedication, Preface, Dedication, Preface, Key",0,Third-person,First-person,,0,1,Translation,,"memoir, manner, person, sex, island","Secret, several, quality, both, new, Italian","Atalantis, Mediterranean",,,,,
260518,"Lambert de Saumery, Pierre,",b. ca. 1690.,Adventures of Astaroth banish'd from hell.,London,1742,,,,0,,,,0,0,,,,,,,,,,
260663,"Haywood, Eliza Fowler,",1693?-1756.,"The fortunate foundlings: being the genuine history of Colonel M----rs, and his sister Madam du P---y, the issue of the Hon. Ch---es M----rs, son of the late Duke of R--l--d. Containing many wonderful accidents that befel them in their travels, and interspersed with the characters and adventures of several persons of condition, in the most polite courts of Europe. The whole calculated for the entertainment and improvement of the youth of both sexes.",Dublin,1745,Duodecimo,,Preface,0,Third-person,,,0,0,,,"foundling, history, sister, issue, son, accident, travel, character, adventure, person, condition, court, whole, entertainment, improvement, youth, sex","fortunate, genuine, late, many, wonderful, several, most, polite, both",Europe,"Colonel M----rs, Madam du P---y, Duke of R--l--d",,,,
260664,"Haywood, Eliza Fowler,",1693?-1756.,"The fortunate foundlings: being the genuine history of Colonel M----rs, and his sister Madam du P---y, the issue of the Hon. Ch---es M----rs, son of the late Duke of R--l--d. Containing many wonderful accidents that befel them in their travels, and interspersed with the characters and adventures of several persons of condition, in the most polite courts of Europe. The whole calculated for the entertainment and improvement of the youth of both sexes.",Dublin,1745,Duodecimo,,Preface,0,Third-person,,,0,0,,,"foundling, history, sister, issue, son, accident, travel, character, adventure, person, condition, court, whole, entertainment, improvement, youth, sex","fortunate, genuine, late, many, wonderful, several, most, polite, both",Europe,"Colonel M----rs, Madam du P---y, Duke of R--l--d",,,,
260674,"Holberg, Ludvig,",1684-1754.,A journey to the world under-ground. By Nicholas Klimius. Translated from the original.,London,1742,Duodecimo,,,0,,,,0,1,Translation,,"journey, world","under-ground, original",,Nicholas Klimius,,,,
260675,"Mouhy, Charles de Fieux,",1701-1784.,"The busy-body: or, successful spy: Vol. I.",London,1742,Duodecimo,,"Preface, Preface, Advertisement, To the reader, Letter",0,First-person,,,1,0,,,"busy-body, spy, busy-body, spy, history, man, rashness, faculty, obscurity, fortune, story, whole, variety, adventure, busy-body, spy, history, man, rashness, faculty, obscurity, fortune, story, whole, variety, adventure","successful, successful, entertaining, infinitely, inquisitive, enterprising, unhappy, lowest, most, splendid, several, humorous, great, equally, instructive, diverting, successful, entertaining, infinitely, inquisitive, enterprising, unhappy, lowest, most, splendid, several, humorous, great, equally, instructive, diverting",,"Mons. Bigand, , Mons. Bigand, ",,,"nevertheless, nevertheless",
260676,"Mouhy, Charles de Fieux,",1701-1784.,"The busy-body: or, successful spy: Vol. I.",London,1742,Duodecimo,,"Preface, Preface, Advertisement, To the reader, Letter, Advertisement, To the reader, Letter",0,First-person,,,0,0,,,"busy-body, spy, history, man, rashness, faculty, obscurity, fortune, story, whole, variety, adventure, busy-body, spy, history, man, rashness, faculty, obscurity, fortune, story, whole, variety, adventure","successful, entertaining, infinitely, inquisitive, enterprising, unhappy, lowest, most, splendid, several, humorous, great, equally, instructive, diverting, successful, entertaining, infinitely, inquisitive, enterprising, unhappy, lowest, most, splendid, several, humorous, great, equally, instructive, diverting",,"Mons. Bigand, Mons. Bigand",,,"containing, containing",
260678,"Cervantes Saavedra, Miguel de,",1547-1616.,,London,1742,,,,0,,,,0,0,,,,,,,,,,
260686,"Fielding, Sarah,",1710-1768.,adventure David Simple  account travel city London  Westminster  search real friend lady two volume second edition preface Henry Fielding Esq,London,1744,Duodecimo,,"Advertisement, To the reader",0,Third-person,,,0,0,,,,,,,,,,
260687,"Fielding, Sarah,",1710-1768.,"The adventures of David Simple: containing an account of his travels through the cities of London and Westminster, in the search of a real friend. By a lady. In two volumes. Vol. I. The second edition, revised and corrected. With a preface by Henry Fielding Esq;",London,1744,Duodecimo,,"Table of contents, Table of contents, Advertisement, To the reader, Preface",0,Third-person,,,1,0,,,"adventure, account, travel, city, search, friend, lady, edition, preface, adventure, account, travel, city, search, friend, lady, edition, preface","real, second, real, second","London, , Westminster, , London, , Westminster, ","David Simple, Henry Fielding, Esq, , David Simple, Henry Fielding, Esq, ",,,,
260688,"Fielding, Sarah,",1710-1768.,"The adventures of David Simple: containing an account of his travels through the cities of London and Westminster, in the search of a real friend. By a lady. In two volumes. Vol. I. The second edition, revised and corrected. With a preface by Henry Fielding Esq;",London,1744,Duodecimo,,"Advertisement, To the reader",0,Third-person,,,0,0,,,"adventure, account, travel, city, search, friend, lady, edition, preface","real, second","London, Westminster","David Simple, Henry Fielding, Esq.",,,,
260689,,,"Alexis; or, the young adventurer. A novel.",London,1746,Octavo,,,1,Third-person,,,0,0,,,"adventurer, novel",young,,Alexis,,,,
260690,,,"Memoirs of the love and state-intrigues of the court of H-----; from the marriage of the princess of Z--------, to the tragical death of Count K-----k: a home-truth.",London,1743,Octavo,,,1,,,,0,1,Translation,,"home-truth, High-German, sister, nobleman, Memoir, love, state-intrigue, court, marriage, princess, death, home-truth, sister, nobleman","unfortunate, tragical, High-German, unfortunate",Z--------,"Count K------k, H-----, Count K------k, Countess of K---------k",,,,
260691,"Kirkby, John,",1705-1754.,"The capacity and extent of the human understanding; exemplified in the extraordinary case of Automathes, a young nobelman, who was accidentally left in his infancy, upon a desolate island, and continued nineteen years in that solitary state, separate from all human society. A narrative abounding with many surprizing occurrences, both useful and entertaining to the reader. The second edition.",Dublin,1746,Duodecimo,,Dedication,0,First-person,Third-person,,1,0,,,"capacity, extent, understanding, case, nobelman, infancy, island, year, state, society, narrative, occurrence, reader, edition","human, extraordinary, young, desolate, nineteen, solitary, human, many, surprizing, useful, entertaining",,Automathes,,,abounding,
260692,,,"The adventures and amours of the Marquis de Noailles, and Mademoiselle Tencin.",London,1746,Duodecimo,In two volumes.,Preface,0,First-person,Epistolary,,0,0,Translation,,"adventure, amour, adventure, amour, manuscript",French,,"Marquis de Noailles, Mademoiselle Tencin, Marquis de Noailles, Mademoiselle Tencin",,,,
260693,,,"Leonora: or, characters drawn from real life. Containing a great variety of incidents: Interspers'd with reflections moral and entertaining. In two volumes. The second edition.",London,1745,Duodecimo,,"Preface, Preface, Errata",1,First-person,Epistolary,,0,0,,,"character, life, variety, incident, reflection, edition, character, life, variety, incident, reflection, edition","real, great, moral, entertaining, second, real, great, moral, entertaining, second",,"Leonora, Leonora",,,,
260694,"Gomez,",1684-1770.,"Select novels, translated from the French of Madame de Gomez. Viz. Effects of simpathy. Fair gardener. The vestal. Clodomark. Sequel to the vestal. Tartarian prince. Never before published.",London,1745,Duodecimo,,,0,,,,0,0,,,"novel, effect, simpathy, gardener, vestal, Sequel, vestal, prince","Select, French, Fair, Tartarian",,"Madame de Gomez, ",,,,
260695,,,"The silph's resentment; or, the Numidian coquet: a satyrical novel. To which is added, revenge a-la-mode, an heroi-comic tale. [Price six-pence]",London,1742,Octavo,,Conclusion,1,Third-person,,,0,0,,,"silph, resentment, coquet, novel, revenge, tale, six-pence","Numidian, satyrical, a-la-mode, heroi-comic",,,,,,
260696,"Kirkby, John,",1705-1754.,"The capacity and extent of the human understanding; exemplified in the extraordinary case of Automathes, a young nobelman, who was accidentally left in his infancy, upon a desolate island, and continued nineteen years in that solitary state, separate from all human society. A narrative abounding with many surprizing occurrences, both useful and entertaining to the reader.",London,1745,Duodecimo,,Dedication,0,First-person,Third-person,,0,0,,,"capacity, extent, understanding, nobelman, infancy, island, year, state, society, narrative, occurrence, reader","human, extraordinary, young, desolate, nineteen, solitary, human, many, surprizing, useful, entertaining",,"Automathes, ",,,,
260698,,,The lady's drawing room. Being a faithfull picture of the great world. In which the various humours of both sexes are display'd. Drawn from the life: and interspers'd with entertaining and affecting novels.,London,1744,Duodecimo,,Preface,0,,,,0,0,,,"drawing, room, picture, world, humour, sex, life, novel","lady, faithfull, great, various, both, entertaining, affecting",,,,,,
