htid,recordid,oclc,locnum,author,imprint,date,place,enumcron,subjects,title,prob80precise,genrepages,totalpages,englishpct,datetype,startdate,enddate,imprintdate
nyp.33433067374037,8618252,11558660,PN6140.L7B7,"Boyer, Abel,",London;Printed for J. Hartley;1701.,1701,enk,,Letters,"Letters of wit, politicks and morality",0.52,185,422,1,s,1701,    ,1701
uc2.ark+=13960=t0js9xc1p,7700038,13238040,,,London;1702.,1702,enk,,,"The infernal wanderer; or, The Devil ranging upon earth",0.68,15,22,0.999,s,1702,    ,1702
mdp.39015009144422,1525544,23621601,,"FernÃ¡ndez, JerÃ_nimo.",London;Printed for E. Tracy;1703.,1703,enk,,,The honour of chivalry,0.84,381,402,1,s,1703,    ,1703
mdp.39015030155215,1797410,23633278,,"La CalprenÃ¨de, Gaultier de Coste,","London;Printed for Isaac Cleave next to Serjeant's-inn, in Chancery-lane, John Pero, at the White Swan in Little-Britain, and Eben, Tracy at the three Bibles upon London-bridge;1703.",1703,enk,,King of Macedonia;ca. 358-297 B.C;356-323 B.C;Alexander;the Great;Fiction;Cassander,The famous history of Cassandra,0.84,614,639,1,s,1703,    ,1703
mdp.39015063516804,559379,4145744,,"Boyle, Robert,",London;Printed for J. Taylor;1703.,1703,enk,,,"Love and religion demonstrated in the martyrdom of Theodora, and of Didymus",0.87,198,222,1,s,1703,    ,1703
uc1.31822038199097,10824039,16006340,,"Tutchin, John,","London;Printed, and sold by B. Bragg;1703",1703,enk,,"Halifax, Charles Montagu;Earl of;1661-1715","The second part of the mouse grown a rat, or, The story of the city and country mouse",0.88,28,30,1,s,1703,    ,1703
hvd.hxjh5g,9707942,15559344,,,London;Printed for Samuel Ballard ...;1706.,1706,enk,,,"The history of George a Green, pindar of the town of Wakefield",0.59,61,110,1,s,1706,    ,1706
mdp.39015062920262,1845437,23642214,,"Phalaris,","London;Printed for J. Barnes, B. Lintot and J. Round;1706.",1706,enk,,,The epistles of Phalaris,0.66,138,220,0.999,s,1706,    ,1706
dul1.ark+=13960=t53f5kv0q,5346978,3534780,,"AlemÃ¡n, Mateo,","London;Printed for R. Bonwick, W. Freeman, T. Goodwin, J. Walthoe, M. Wotton, J. Nicholson, S. Manship, R. Parker, B. Tooke, and R. Smith;1708, 1707.",1708,enk,v.2,GuzmÃƒÂ¡n de Alfarache;Fiction,"The life of Guzman d'Alfarache, or, The Spanish rogue",0.83,398,520,1,m,1708,1707,1708
dul1.ark+=13960=t6m04z31z,5346978,3534780,,"AlemÃ¡n, Mateo,","London;Printed for R. Bonwick, W. Freeman, T. Goodwin, J. Walthoe, M. Wotton, J. Nicholson, S. Manship, R. Parker, B. Tooke, and R. Smith;1708, 1707.",1708,enk,v.1,GuzmÃƒÂ¡n de Alfarache;Fiction,"The life of Guzman d'Alfarache, or, The Spanish rogue",0.9,577,598,1,m,1708,1707,1708
njp.32101068312121,8969985,1920126,,"Aulnoy,",London;J. Woodward;1708.,1708,enk,,II;Great Britain;Charles;King of England;1630-1685;Court and courtiers,Memoirs of the court of England : in the reign of King Charles II,0.83,379,406,1,s,1708,    ,1708
nnc1.0112055441,8401100,5068624,,,London;J. Tonson;1708.,1708,enk,,,Turkish tales,0.83,323,348,1,s,1708,    ,1708
dul1.ark+=13960=t3611qj21,10943989,23626656,PR 3545.M8 S43 1709,"Manley,",London;Printed for J. Morphew and J. Woodward;1709.,1709,enk,v.1,,"Secret memoirs and manners of several persons of quality, of both sexes. From the New Atalantis, an island in the Mediteranean. Written originally in Italian",0.81,234,264,1,s,1709,    ,1709
dul1.ark+=13960=t53f5fj6x,10943989,23626656,PR 3545.M8 S43 1709,"Manley,",London;Printed for J. Morphew and J. Woodward;1709.,1709,enk,v.2,,"Secret memoirs and manners of several persons of quality, of both sexes. From the New Atalantis, an island in the Mediteranean. Written originally in Italian",0.79,256,300,1,s,1709,    ,1709
mdp.39015023171559,1805650,23642156,,"Gelli, Giovanni Battista,",London;Printed by J.N.;1710.,1710,enk,,,The Circe of Signior Giovanni Battista Gelli,0.53,138,303,1,s,1710,    ,1710
mdp.39015067087968,913751,13603142,,,London;s.n.;1710.,1710,enk,,"History;Whig Party (Great Britain);Politics and government;Great Britain;Anne, 1702-1714;1702-1714;Pamphlets;Humor","A true and faithful account of the last distemper and death of Tom. Whigg, Esq., who departed this life on the 22d day of September last, Anno Domini 1710",0.78,30,36,1,s,1710,    ,1710
