oclc	authorName	authorDates	ENDFullTitle	pubLocationStatement	pubDateTranscribed	format	formatStatement	paratextTitleControlled	epigraphBoolean	narrativeFormPrimary	narrativeFormAdditional	nonProseForms	inscriptionBoolean	marginaliaBoolean	translationClaimControlled	titleOtherWorks	titleNouns	titleAdjectives	titlePlaces	titleNames	titleVerbs	titleObjects	titleAdverbs	catalogedBy
260496	Weston, Anna Maria.		Pleasure and pain, or the fate of Ellen; A novel. In three volumes. Anna Maria Weston. Vol. I.	London	1814.0	Duodecimo	In three volumes.		0	Third-person	Poem(s)		0	0			pleasure, pain, fate, novel, pleasure, pain, fate, novel, pleasure, pain, fate, novel			Ellen, Anna Maria Weston, Ellen, Anna Maria Weston, Ellen, Anna Maria Weston				
260498	Hawkins, Laetitia Matilda,	1760-1835.	Rosanne; or, a father's labour lost. In three volumes. By Laetitia-Matilda Hawkins. Volume I.	London	1814.0	Octavo	In three volumes.	Dedication, Advertisement, Errata	1				0	0			father, labour	lost		Rosanne, Laetitia-Matilda Hawkins, Rosanne				
260500	Orrery, Roger Boyle,	1621-1679.	Royal adventures: being the amorous history of King Henry the Eighth, and his court, &c. Wrote by a party in his pleasures; and now publish'd from the original papers, by a person of quality. Price one shilling	London	1750.0	Duodecimo			1	Third-person			0	0			adventure, history, king, court, party, pleasure, paper, person, quality, price, shilling	Royal, amorous, original		King Henry the Eighth				
260503	Manley,	1663-1724.	Secret memoirs and manners of several persons of quality of both sexes. From the new Atalantis an island in the Mediterranean. In four volumes. Written originally in Italian. Vol. I	London	1720.0	Duodecimo	In four volumes.	Dedication, Dedication, Dedication, Preface, Dedication, Preface, Key	0	Third-person	First-person		0	1	Translation		memoir, manner, person, sex, island	Secret, several, quality, both, new, Italian	Atalantis, Mediterranean					
260507	Leadbeater, Mary,	1758-1826.		Dublin	1814.0				0				0	0										
260508	Burney, Sarah Harriet,	1772-1844.	Tales of fancy, by S.H. Burney. Vol. I Containing the shipwreck	London	1816.0	Duodecimo		Dedication, Dedication	1	First-person, Third-person	Epistolary		0	0			tale, fancy, shipwreck, tale, fancy, Author, Trait, nature, shipwreck, shipwreck, tale, tale, fancy, Author, Trait, nature, Country, neighbour, secret, country, neighbour, tale, fancy, country, neighbour, country, neighbour			S.H. Burney, S.H. Burney, Clarentine, Geraldine Fauconberg, S.H. Burney, S.H. Burney, , Clarentine, S.H. Burney, 				
260518	Lambert de Saumery, Pierre,	b. ca. 1690.	Adventures of Astaroth banish'd from hell.	London	1742.0				0				0	0										
260658	Godwin, William,	1756-1836.	The travels of St. Leon	London	1816	Octavo			1				0	0			travel, tale, century	sixteenth		St. Leon, St. Leon, William Godwin				
260659	Malory, Thomas,	15th cent.		London	1816.0				0				0	0										
260660	Fielding, Henry,	1707-1754.	The history of the adventures of Joseph Andrews. By Henry Fielding, Esq. London, published by J. Walker, Paternoster Row, and J. Harris, St. Pauls Church Yard.	London	1810.0			Preface, Introduction	0	Third-person	Epistolary		0	0			history, adventure, history, adventure, friend, imitation, manner, author		London, Paternoster Row, St. Pauls Church Yard	Joseph Andrews, Henry Fielding, Esq., J. Walker, J. Harris, Joseph Andrews, Mr. Abraham Adams, Cervantes, Don Quixote, Henry Fielding, Esq.				
260661	Bunyan, John,	1628-1688.	The pilgrim's progress from this world to that which is to come. Delivered under the similitude of a dream. In three parts. By John Bunyan. A New edition, divided into chapters. With the life of the author. To which are added, Explanatory and practical notes, by Messrs. Mason, Scott, and Burder. Embellished with elegant engravings.	Philadelphia	1811		Three parts in one volume.	Preface, About the author, Note, Conclusion, Preface, Table of contents	1	First-person	Verse		0	0			pilgrim, progress, world, similitude, dream	delivered		John Bunyan				
260662	Weber, Henry William,	1783-1818.	Tales of the East.	Edinburgh	1812	Octavo	In three volumes.	Table of contents, Table of contents, Table of contents, Introduction, Errata	0	First-person, Third-person			0	0			tale, tale, romances, origin, imitation, author, translation, dissertation, account, work, translator, night, entertainment, tale, romances, origin, imitation, author, translation, dissertation, account, work, translator, night, tale, romances, origin, imitation, author, translation, dissertation, account, work, translator, genii, history, son, tale, night, entertainment, night, tale, tale, tale, history, tale, night, entertainment, tale, tale, tale, tale, genii, tale, history, son	popular, Oriental, best, European, new, additional, introductory, Arabian, popular, Oriental, best, European, new, additional, introductory, Arabian, Persian, popular, Oriental, best, European, new, additional, introductory, Mogul, Turkish, Tartarian, Chinese, Arabian, new, Persian, Persian, Oriental, additional, Arabian, Mogul, Turkish, Tartarian, Chinese	East, East, East, East, East, Arabian, Delhi, East	Henry Weber, Esq, Henry Weber, Esq, Inatulla, Nourjahad, Henry Weber, Esq, Abdalla, Hanif, Inatulla, Nourjahad, Abdalla, Hanif				
260663	Haywood, Eliza Fowler,	1693?-1756.	The fortunate foundlings: being the genuine history of Colonel M----rs, and his sister Madam du P---y, the issue of the Hon. Ch---es M----rs, son of the late Duke of R--l--d. Containing many wonderful accidents that befel them in their travels, and interspersed with the characters and adventures of several persons of condition, in the most polite courts of Europe. The whole calculated for the entertainment and improvement of the youth of both sexes.	Dublin	1745.0	Duodecimo		Preface	0	Third-person			0	0			foundling, history, sister, issue, son, accident, travel, character, adventure, person, condition, court, whole, entertainment, improvement, youth, sex	fortunate, genuine, late, many, wonderful, several, most, polite, both	Europe	Colonel M----rs, Madam du P---y, Duke of R--l--d				
260664	Haywood, Eliza Fowler,	1693?-1756.	The fortunate foundlings: being the genuine history of Colonel M----rs, and his sister Madam du P---y, the issue of the Hon. Ch---es M----rs, son of the late Duke of R--l--d. Containing many wonderful accidents that befel them in their travels, and interspersed with the characters and adventures of several persons of condition, in the most polite courts of Europe. The whole calculated for the entertainment and improvement of the youth of both sexes.	Dublin	1745.0	Duodecimo		Preface	0	Third-person			0	0			foundling, history, sister, issue, son, accident, travel, character, adventure, person, condition, court, whole, entertainment, improvement, youth, sex	fortunate, genuine, late, many, wonderful, several, most, polite, both	Europe	Colonel M----rs, Madam du P---y, Duke of R--l--d				
260665	Austen, Jane,	1775-1817.		London	1818.0				0				0	0										
260666	Edgeworth, Maria,	1767-1849.	The modern Griselda. A tale. By Miss Edgeworth, author of The parent's assistant, Tales of fashionable life, Letters for literary ladies, Moral tales, &c. First American edition.	Georgetown :	1810	Duodecimo			1	Third-person	Epistolary, Essay		0	0			tale, author, parent, assistant, tale, life, letter, lady, tale, edition, self-justification, essay, science	modern, fashionable, literary, moral, American, noble		Griselda, Miss Edgeworth				
260667	Edgeworth, Maria,	1767-1849.	Letters for literary ladies. To which is added, an essay on the noble science of self-justification. By Miss Edgeworth	Georgetown :	1810	Duodecimo			1	Third-person	Epistolary, Essay		0	0			letter, lady, essay, science, self-justification	literary, noble		Miss Edgeworth				
260668	Bunyan, John,	1628-1688.	True relation of the holy war,	London	1810.0	Quarto		Advertisement, Directions	0	Third-person			0	1			relation, war, metropolis, world, town, minister, gospel, author, pilgrim, progress, works	true, holy, late, valuable		King Shaddai, Diabolus,, Mansoul, Mr. John Bunyan, Bedford				
260669	Porter, Anna Maria.	1780-1832.	"The knight of St. John, a romance. By Miss Anna Maria Porter, author of ""The Recluse of Norway,"" &c. &c. &c. In three volumes. Vol. I."	London	1817.0	Duodecimo	In three volumes	Dedication	1	Third-person			1	0			knight, romance, author, Recluse		Norway	St. John, Miss Anna Maria Porter				
260670	Porter, Anna Maria.	1780-1832.		London	1817.0				0				0	0										
260671	Porter, Anna Maria.	1780-1832.	"The knight of St. John, a romance. By Miss Anna Maria Porter, author of ""The Recluse of Norway,"" &c. &c. &c. In two volumes. Vol. I."	Philadelphia		Duodecimo	In two volumes.		1	Third-person			0	0			knight, romance, author, Recluse		Norway	St. John, Miss Anna Maria Porter				
260672	Johnson, R.	1733 or 4-1793.		Philadelphia	1810.0				0				0	0										
260673	Burney, Sarah Harriet,	1772-1844.	Clarentine, By Miss Burney. Vol. I.	London	1816			Advertisement	0	Third-person			0	0		Geraldine Fauconberg, Traits of nature	novel, Author, volumes			Clarentine, Miss Burney				
260674	Holberg, Ludvig,	1684-1754.	A journey to the world under-ground. By Nicholas Klimius. Translated from the original.	London	1742.0	Duodecimo			0				0	1	Translation		journey, world	under-ground, original		Nicholas Klimius				
260675	Mouhy, Charles de Fieux,	1701-1784.	The busy-body: or, successful spy: Vol. I.	London	1742.0	Duodecimo		Preface, Preface, Advertisement, To the reader, Letter	0	First-person			1	0			busy-body, spy, busy-body, spy, history, man, rashness, faculty, obscurity, fortune, story, whole, variety, adventure, busy-body, spy, history, man, rashness, faculty, obscurity, fortune, story, whole, variety, adventure	successful, successful, entertaining, infinitely, inquisitive, enterprising, unhappy, lowest, most, splendid, several, humorous, great, equally, instructive, diverting, successful, entertaining, infinitely, inquisitive, enterprising, unhappy, lowest, most, splendid, several, humorous, great, equally, instructive, diverting		Mons. Bigand, , Mons. Bigand, 			nevertheless, nevertheless	
260676	Mouhy, Charles de Fieux,	1701-1784.	The busy-body: or, successful spy: Vol. I.	London	1742.0	Duodecimo		Preface, Preface, Advertisement, To the reader, Letter, Advertisement, To the reader, Letter	0	First-person			0	0			busy-body, spy, history, man, rashness, faculty, obscurity, fortune, story, whole, variety, adventure, busy-body, spy, history, man, rashness, faculty, obscurity, fortune, story, whole, variety, adventure	successful, entertaining, infinitely, inquisitive, enterprising, unhappy, lowest, most, splendid, several, humorous, great, equally, instructive, diverting, successful, entertaining, infinitely, inquisitive, enterprising, unhappy, lowest, most, splendid, several, humorous, great, equally, instructive, diverting		Mons. Bigand, Mons. Bigand			containing, containing	
260677				Winchester, Va.,	1817.0				0				0	0										
260678	Cervantes Saavedra, Miguel de,	1547-1616.		London	1742.0				0				0	0										
260679	Opie, Amelia Alderson,	1769-1853.		Georgetown :	1812.0				0				0	0										
260680	Ryley, S. W.	1759-1837.		New York	1810.0				0				0	0			itinerant, Memoirs, actor, volumes			S.W. Ryley				
260681	Ryley, S. W.	1759-1837.	Memoirs of an actor	London	1817-27.				0				0	0										
260682	Ryley, S. W.	1759-1837.	Memoirs of an actor	London	1817.0	Duodecimo	In three volumes.	Dedication, Letter, Preface, Table of contents, Table of contents, Table of contents	1	First-person			1	0			itinerant, memoir, actor, edition	second		S.W. Ryley.				
260683	Ryley, S. W.	1759-1837.		London	1816-1817.				0				0	0										
260684	Ryley, S. W.	1759-1837.	The itinerant, or memoirs of an actor.  Vol. IV.  By S. W. Ryley.	London	1816-1817.	Duodecimo		Dedication, Table of contents, Preface	0				0	0			itinerant, memoir, actor., Vol. IV.			S. W. Ryley.				
260685	More, Hannah,	1745-1833.	Coelebs in search of a wife. Comprehending observations on domestic habits and manners, religion and morals. The Fourteenth edition. In two volumes. Vol. I.	London	1813			Preface	1	First-person	Epistolary		1	0			search, wife, observations, habits, manners, religion, morals, edition, volumes	domestic		Coelebs	Comprehending			
260686	Fielding, Sarah,	1710-1768.	adventure David Simple  account travel city London  Westminster  search real friend lady two volume second edition preface Henry Fielding Esq	London	1744.0	Duodecimo		Advertisement, To the reader	0	Third-person			0	0										
260687	Fielding, Sarah,	1710-1768.	The adventures of David Simple: containing an account of his travels through the cities of London and Westminster, in the search of a real friend. By a lady. In two volumes. Vol. I. The second edition, revised and corrected. With a preface by Henry Fielding Esq;	London	1744.0	Duodecimo		Table of contents, Table of contents, Advertisement, To the reader, Preface	0	Third-person			1	0			adventure, account, travel, city, search, friend, lady, edition, preface, adventure, account, travel, city, search, friend, lady, edition, preface	real, second, real, second	London, , Westminster, , London, , Westminster, 	David Simple, Henry Fielding, Esq, , David Simple, Henry Fielding, Esq, 				
260688	Fielding, Sarah,	1710-1768.	The adventures of David Simple: containing an account of his travels through the cities of London and Westminster, in the search of a real friend. By a lady. In two volumes. Vol. I. The second edition, revised and corrected. With a preface by Henry Fielding Esq;	London	1744.0	Duodecimo		Advertisement, To the reader	0	Third-person			0	0			adventure, account, travel, city, search, friend, lady, edition, preface	real, second	London, Westminster	David Simple, Henry Fielding, Esq.				
260689			Alexis; or, the young adventurer. A novel.	London	1746.0	Octavo			1	Third-person			0	0			adventurer, novel	young		Alexis				
260690			Memoirs of the love and state-intrigues of the court of H-----; from the marriage of the princess of Z--------, to the tragical death of Count K-----k: a home-truth.	London	1743.0	Octavo			1				0	1	Translation		home-truth, High-German, sister, nobleman, Memoir, love, state-intrigue, court, marriage, princess, death, home-truth, sister, nobleman	unfortunate, tragical, High-German, unfortunate	Z--------	Count K------k, H-----, Count K------k, Countess of K---------k				
